Id,links,keywords,mention,title,description,date,location
1,https://www.danseatouslesetages.org/evenement/hd-mulunesh/,"Spectacle",En partenariat avec le réseau des médiathèque de CCA,Histoire(s) Décoloniale(s) #Mulunesh,Betty Tchomanga,dimanche 21 septembre - 11h,Médiathèque · Tourc'h
2,https://www.danseatouslesetages.org/evenement/hd-mulunesh/,"Spectacle",En partenariat avec le réseau des médiathèque de CCA,Histoire(s) Décoloniale(s) #Mulunesh,Betty Tchomanga,dimanche 21 septembre - 16h30,Médiathèque · Tourc'h
3,https://www.danseatouslesetages.org/evenement/quatre-trois/,"Spectacle",En partenariat avec les Villes de Saint-Yvi et Névez et le Village Club Miléade Port-Manech,quatre trois ◇ : △,Andrège Bidiamambu & Seren Kano,dimanche 21 septembre - 11h,Plateau des sports Terrain de basket 29140 Saint-Yvi
4,https://www.danseatouslesetages.org/evenement/quatre-trois/,"Spectacle",En partenariat avec les Villes de Saint-Yvi et Névez et le Village Club Miléade Port-Manech,quatre trois ◇ : △,Andrège Bidiamambu & Seren Kano,dimanche 21 septembre - 16h30,salle omnisports/stade de Nevez
5,https://www.danseatouslesetages.org/evenement/ecran-somnambule/,"Spectacle",En partenariat avec la Ville et le Musée de Pont-Aven,Ecran somnambule,Latifa Laâbissi,dimanche 21 septembre - 14h,"Musée de Pont-Aven"
6,https://www.danseatouslesetages.org/evenement/ecran-somnambule/,"Spectacle",En partenariat avec la Ville et le Musée de Pont-Aven,Ecran somnambule,Latifa Laâbissi,dimanche 21 septembre - 15h,"Musée de Pont-Aven"
7,https://www.danseatouslesetages.org/evenement/danser-locean/,"Déambulation",En partenariat avec la Ville de Melgven,Dans(er) l’océan,Marine Chesnais & Valérie Chabredier,mercredi 24 septembre 10h,"Parc du Questel, Melgven"
8,https://www.danseatouslesetages.org/evenement/danser-locean/,"Déambulation",En partenariat avec la Ville de Melgven,Dans(er) l’océan,Marine Chesnais & Valérie Chabredier,mercredi 24 septembre  18h30,"Parc du Questel, Melgven"
9,https://www.danseatouslesetages.org/evenement/danser-locean/,"Déambulation",En partenariat avec la Ville de Melgven,Dans(er) l’océan,Marine Chesnais & Valérie Chabredier,jeudi 25 septembre - 10h,"Parc du Questel, Melgven"
10,https://www.danseatouslesetages.org/evenement/danser-locean/,"Déambulation",En partenariat avec la Ville de Melgven,Dans(er) l’océan,Marine Chesnais & Valérie Chabredier,jeudi 25 septembre  18h30,"Parc du Questel, Melgven"
11,https://www.danseatouslesetages.org/action-artistique/anna-halprin-film/,"Film",Organisé par l’association Grand Écran,Anna Halprin : le souffle de la danse,Ruedi Gerber,jeudi 25 septembre - 20:00,"Cinéville, Concarneau"
12,https://www.danseatouslesetages.org/action-artistique/ateliers-de-co-developpement/,"Rencontre pro",Ateliers de co-développement,Culture Lab 29,,vendredi 26 septembre - 14:45, 1 rue Victor Schoelcher Concarneau
13,https://www.danseatouslesetages.org/evenement/bruissement/,"Création",Spectacle,Bruissement,Sylvain Prunenec,vendredi 26 septembre - 18h30,"Ferme de Botfaven, Melgven"
14,https://www.danseatouslesetages.org/evenement/bruissement/,"Création",Spectacle,Bruissement,Sylvain Prunenec,vendredi 26 septembre 21h,"Ferme de Botfaven, Melgven"
15,https://www.danseatouslesetages.org/action-artistique/masterclass-odile-duboc/,"Atelier",Masterclass Odile Duboc,,Stéphane Imbert,samedi 27 septembre - 10:00,"Les Brigantines, Trégunc"
16,https://www.danseatouslesetages.org/evenement/bernabo/,"Spectacle",En partenariat avec la Ville de Concarneau,BERNABO,Anne Teresa De Keersmaeker / Rosas,samedi 27 septembre - 11h,"Carré des Larrons, Concarneau"
17,https://www.danseatouslesetages.org/evenement/bernabo/,"Spectacle",En partenariat avec la Ville de Concarneau,BERNABO,Anne Teresa De Keersmaeker / Rosas,samedi 27 septembre - 19h,"Carré des Larrons, Concarneau"
18,https://www.danseatouslesetages.org/evenement/nishike/,"Spectacle",En partenariat avec le Centre Culturel Municipal de Rosporden,Nishike,"Fiona Houez, Roméo Lasne et Erwan Martinerie",samedi 27 septembre - 17:00,"Place de la mairie, Rosporden"
19,https://www.danseatouslesetages.org/evenement/bounce/,"Spectacle",En partenariat avec la ville de Concarneau,Bounce,Sons of Wind,samedi 27 septembre - 21:00,"Petit Château, Concarneau"
20,https://www.danseatouslesetages.org/evenement/blind-dreams/,"Spectacle",En partenariat avec la MJC Le Sterenn,Blind Dreams,Thierry Micouin,dimanche 28 septembre - 10:30,"MJC Le Sterenn, Trégunc"
21,https://www.danseatouslesetages.org/evenement/ac-dc/,"Spectacle",En partenariat avec la MJC Le Sterenn.,AC/DC,Compagnie Lucane et compagnie Pasarela,dimanche 28 septembre - 14:30,"Jardin des temps mêlés, Trégunc"
22,https://www.danseatouslesetages.org/action-artistique/bal-de-cloture/,"Bal",En partenariat avec la MJC Le Sterenn,Bal de clôture,Sons of Wind,dimanche 28 septembre - 16:30,"MJC Le Sterenn, Trégunc"
